action,id,name,slug,image_filename,image_size,reason,new_slug
KEEP,10219,AB - Antique Auto,ab-antique-auto-v1,ab-antique-auto.jpg,4036,"equal size (4036 bytes) — new uses preferred "" - "" format",ab-antique-auto
DEACTIVATE,10192,AB-Antique Auto,ab-antique-auto,plate_10192_1774918802.jpg,4036,"equal size (4036 bytes) — new uses preferred "" - "" format",
KEEP,10221,AB - Disabled,ab-disabled-v1,ab-disabled.jpg,3924,"equal size (3924 bytes) — new uses preferred "" - "" format",ab-disabled
DEACTIVATE,10193,AB-Disabled,ab-disabled,plate_10193_1774918835.jpg,3924,"equal size (3924 bytes) — new uses preferred "" - "" format",
KEEP,10222,AB - Edmonton Oilers,ab-edmonton-oilers-v1,ab-edmonton_oilers.jpg,41786,"equal size (41786 bytes) — new uses preferred "" - "" format",ab-edmonton-oilers
DEACTIVATE,10188,AB-Edmonton Oilers,ab-edmonton-oilers,plate_10188_1774917579.jpg,41786,"equal size (41786 bytes) — new uses preferred "" - "" format",
KEEP,10223,AB - Motorcycle,ab-motorcycle-v1,ab-motorcycle.jpg,4773,"equal size (4773 bytes) — new uses preferred "" - "" format",ab-motorcycle
DEACTIVATE,10191,AB-Motorcycle,ab-motorcycle,plate_10191_1774918724.jpg,4773,"equal size (4773 bytes) — new uses preferred "" - "" format",
KEEP,10228,AB - Veteran,ab-veteran-v1,ab-veteran.jpg,3981,"equal size (3981 bytes) — new uses preferred "" - "" format",ab-veteran
DEACTIVATE,10194,AB-Veteran,ab-veteran,plate_10194_1774918867.jpg,3981,"equal size (3981 bytes) — new uses preferred "" - "" format",
KEEP,10238,AK - Alaska Childrens Trust,ak-alaska-childrens-trust-v1,ak-alaska-childrens-trust.png,154896,"equal size (154896 bytes) — new uses preferred "" - "" format",ak-alaska-childrens-trust
DEACTIVATE,1229,AK-Alaska Children's Trust,ak-alaska-childrens-trust,plate_1229_1774162783.png,154896,"equal size (154896 bytes) — new uses preferred "" - "" format",
KEEP,10239,AK - Blood Bank Of Alaska,ak-blood-bank-of-alaska-v1,ak-blood-bank-of-alaska.png,76299,"equal size (76299 bytes) — new uses preferred "" - "" format",ak-blood-bank-of-alaska
DEACTIVATE,1230,AK-Blood Bank of Alaska,ak-blood-bank-of-alaska,plate_1230_1774162806.png,76299,"equal size (76299 bytes) — new uses preferred "" - "" format",
KEEP,1231,AK-Breast Cancer Awareness,ak-breast-cancer-awareness,plate_1231_1774162834.png,65328,old image larger (65328 vs 49724 bytes),
